,predRecom,title
4284,Yes,ibm management respect employees salary good compared industry
4285,Yes,years ibm satisfied
4286,No,none
4287,Yes,industry competitive
4288,Yes,ibm devent
4289,Yes,work ibm
4290,Yes,great company
4291,Yes,accountant
4292,Yes,accountant
4293,Yes,managing consultant
4294,Yes,balance us economy
4295,Yes,place
4296,No,two years one ranking meaningful raises bye
4297,No,years ago
4298,Yes,place ambition
4299,No,good group active project great place otherwise grind
4300,Yes,quite satisfactory
4301,Yes,good bad time
4302,Yes,great exposure lots work
4303,Yes,geographically balanced us jobs grow wings
4304,Yes,pros cons
4305,Yes,work remotely
4306,Yes,working ibm presales
4307,Yes,ibm consulting strategy
4308,No,used
4309,No,used
4310,No,good starting point dont stay long unless want manager product manager
4311,No,dont stay long short cycle attain skills contacts move brighter career futures
4312,No,ibm ssr new york
4313,Yes,empower people jobs short term gain long term pain
4314,No,great outsourcer
4315,Yes,overall ibm bad place work
4316,Yes,great environment build experiencebut career
4317,No,good performance dont guarantee continued employment
4318,Yes,good place start finish
4319,Yes,solidly good place work overall lots bureaucratic overhead ossified systems
4320,Yes,solidly good place work overall lots bureaucratic overhead ossified systems
4321,No,aint used
4322,No,ok want stay stagnant
4323,No,ibm empire decline
4324,Yes,still one best places start career
4325,Yes,inside feedback
4326,No,good becoming worse
4327,Yes,flexible work integrated life
4328,Yes,ibm managing consultant
4329,Yes,ibm
4330,Yes,ok
4331,No,recently acquired
4332,Yes,better
4333,Yes,impressive
4334,No,wrong direction
4335,Yes,ibm fantastic place process driven individuals
4336,Yes,project manager
4337,Yes,bad job
4338,Yes,managing consultant titlestaff level work
4339,No,things wish knew started ibm
4340,Yes,ibm overall
4341,Yes,marketing intern
4342,Yes,great team work project
4343,Yes,good company culture
4344,No,much chaos
4345,Yes,engineer
4346,Yes,good place work right profile everyone
4347,Yes,business development emc
4348,Yes,working big company
4349,Yes,engineer
4350,Yes,inside sales manager
4351,Yes,product manager intern
4352,Yes,marketing manager
4353,Yes,engineering technician
4354,Yes,consultant
4355,Yes,operations
4356,Yes,great company
4357,Yes,pretty good
4358,Yes,flexible
4359,Yes,dell former employee
4360,Yes,technical systems analyst
4361,Yes,inside solutions architect
4362,Yes,good benefits salary
4363,Yes,good pay great benefits difficult move ladder
4364,Yes,pleasant atmosphere interesting product
4365,Yes,great company
4366,Yes,salary yrs experience
4367,Yes,positive experience
4368,Yes,good place work
4369,Yes,euc sales technologist
4370,Yes,healthcare
4371,Yes,software engineer
4372,Yes,project mgr
4373,Yes,account manager
4374,Yes,great work place
4375,Yes,customer service representative
4376,Yes,working experience
4377,Yes,principal software engineer
4378,Yes,system integration engineer system administration
4379,Yes,marketing program manager
4380,Yes,software engineer
4381,Yes,marketing program manager
4382,No,smb
4383,Yes,awesome company
4384,Yes,account manager
4385,Yes,production asssiociate
4386,Yes,good
4387,Yes,dell
4388,Yes,dell principal qa engineer
4389,Yes,sr consultant advisory solutions architect
4390,Yes,salary expectations
4391,Yes,sales rep
4392,Yes,sr consultant advisory solutions architect
4393,Yes,great place work
4394,Yes,undergrad
4395,No,none
4396,Yes,program manager
4397,No,principle qe engineer
4398,Yes,awesome
4399,Yes,one better places worked
4400,Yes,great company
4401,Yes,time dell
4402,Yes,get experience get
4403,Yes,get experience get
4404,Yes,sr manager software development
4405,Yes,technical staff
4406,Yes,project manager
4407,Yes,good place work
4408,Yes,working dell
4409,Yes,infrastructure business
4410,Yes,dell inc
4411,Yes,moderate company
4412,Yes,big
4413,Yes,decent place work
4414,No,outsourcing
4415,Yes,great environment
4416,Yes,senior consultant
4417,Yes,account executive
4418,Yes,quick review
4419,Yes,perot dell ntt data
4420,Yes,project manager
4421,Yes,technical support engineer
4422,Yes,sales
4423,Yes,resolution expert
4424,Yes,ups downs
4425,Yes,around decent place work
4426,Yes,consulting manager
4427,Yes,support technician ii
4428,Yes,good worklife balance
4429,Yes,decent fast moving livable
4430,Yes,senior software engineer
4431,Yes,meritocracy
4432,Yes,customer service engineer
4433,Yes,principal developer
4434,Yes,greatly enlightening experience
4435,Yes,delivery manager emc
4436,Yes,review
4437,Yes,sql dba
4438,Yes,information technologist
4439,Yes,solution architect
4440,Yes,good corporate training
4441,Yes,still wip
4442,Yes,tech support analyst
4443,Yes,nice work environment friendly people
4444,Yes,principal engineer
4445,Yes,dellemc
4446,Yes,ok
4447,Yes,good
4448,Yes,business analyst
4449,Yes,experience
4450,Yes,changes
4451,Yes,great place work life balance
4452,Yes,overall ok
4453,Yes,great place learn
4454,Yes,company
4455,Yes,good place work
4456,Yes,companies
4457,Yes,business operations analyst
4458,Yes,emc good company overall
4459,Yes,product marketing
4460,Yes,flexible company
4461,Yes,ok
4462,Yes,good place great people
4463,Yes,finance overview
4464,Yes,vp sales
4465,Yes,dell emc post merger
4466,Yes,great oppurtunity
4467,Yes,supply chain senior advisor
4468,Yes,inside sales support rep
4469,No,dont work
4470,Yes,good workplace
4471,Yes,work life balance
4472,Yes,solution consultant
4473,Yes,ae
4474,Yes,business analyst
4475,Yes,decent pay good work life balance
4476,Yes,sales
4477,Yes,project coordinator
4478,Yes,account managment gcc
4479,Yes,project manager
4480,Yes,principal architect
4481,Yes,dellemc
4482,Yes,sr manager
4483,Yes,greattechnology company work
4484,Yes,needed information dell
4485,Yes,dga
4486,No,jury still
4487,Yes,accounting consultant
4488,Yes,good company
4489,Yes,configuration management specialist
4490,Yes,used great place work
4491,Yes,principle engineer
4492,Yes,principle engineer
4493,Yes,senior consulting engineer
4494,Yes,getting work done
4495,Yes,engineering manager
4496,Yes,engineering manager
4497,Yes,ok
4498,Yes,past isr
4499,Yes,senior network security analyst
4500,Yes,consultant software engineer
4501,Yes,culture changing dell
4502,Yes,manager
4503,Yes,basic
4504,Yes,pretty good company needs come better strategic position industry road
4505,Yes,isr
4506,Yes,good
4507,Yes,account executive
4508,Yes,dell
4509,Yes,good
4510,Yes,employment dell
4511,Yes,princ cse
4512,Yes,rotating door
4513,Yes,sw engineer
4514,Yes,good culture
4515,Yes,great company work
4516,Yes,program manager
4517,No,stress way much non valueadded work
4518,Yes,excellent place work work
4519,Yes,excellent place work work
4520,Yes,premerger review emc
4521,Yes,decent work  get
4522,Yes,laid part dellemc transition
4523,Yes,varchitect technical presales
4524,Yes,salary
4525,No,senior qe engineer
4526,Yes,warehouse worker
4527,Yes,cool place
4528,Yes,lot uncertainty
4529,Yes,dell storage
4530,Yes,senior software engineer
4531,No,little upward movement available
4532,Yes,mean worked phone bank
4533,Yes,isr ii
4534,Yes,corporate culture
4535,Yes,contract project manager
4536,Yes,title
4537,Yes,sap consultant delivery support
4538,Yes,good company
4539,Yes,good big company
4540,Yes,emc culture
4541,Yes,good place work
4542,Yes,handles change well
4543,Yes,overview
4544,Yes,sa employee review
4545,Yes,sa employee review
4546,Yes,business support sr associate
4547,Yes,dell emc
4548,Yes,finance job
4549,Yes,director
4550,Yes,sr software qa engineer
4551,Yes,sales
4552,No,much fun anymore
4553,Yes,director
4554,Yes,bad
4555,Yes,good place work
4556,Yes,field service technician
4557,Yes,dell
4558,No,dell lincoln
4559,Yes,great company
4560,Yes,emc dell engineering
4561,No,ok job focused employee
4562,No,unknown road dell purchase
4563,Yes,software quality engineer
4564,Yes,year changes
4565,Yes,interesting product
4566,Yes,cautiously optimistic
4567,Yes,supply chain program manager
4568,Yes,hris analyst
4569,Yes,good work life balance
4570,No,clueless managing software companies bought
4571,Yes,bad place
4572,Yes,scale change
4573,Yes,senior software engineer
4574,Yes,real benefit change emc coming board
4575,Yes,dell emc
4576,Yes,principal sqe
4577,Yes,tse
4578,Yes,fun
4579,Yes,great
4580,Yes,product manager
4581,Yes,intern
4582,Yes,good part
4583,Yes,dell overall great place work
4584,Yes,greate place work
4585,Yes,part emc good company work
4586,Yes,project manager
4587,Yes,overall satisfied
4588,Yes,work
4589,No,software play unknown
4590,Yes,review
4591,Yes,intern undergrad sr analysts
4592,Yes,merger emc dell handled poorly best
4593,Yes,principal developer
4594,Yes,emc dell
4595,Yes,software dev staff engineer
4596,Yes,career growth
4597,Yes,software engineer
4598,Yes,consultant
4599,Yes,good luck
4600,Yes,manger
4601,Yes,mixed
4602,Yes,principal software engineer
4603,Yes,good work culture opportunities learn flexibility
4604,Yes,dga
4605,Yes,job
4606,Yes,newly promoted
4607,Yes,working dell
4608,Yes,dell review
4609,Yes,software developer
4610,Yes,good place work
4611,Yes,good experience
4612,Yes,software qa
4613,Yes,phone support specialist
4614,Yes,decent company work
4615,Yes,oem account manager
4616,Yes,exciting
4617,Yes,intern
4618,Yes,intern
4619,Yes,dell
4620,Yes,dellemc
4621,Yes,emc predell
4622,Yes,career growth opportunities great
4623,Yes,great company red tape
4624,No,old
4625,Yes,sys admin
4626,Yes,dell review
4627,Yes,software developer
4628,Yes,director level
4629,Yes,gig company need forward looking leadership
4630,Yes,executive administrative assistant
4631,Yes,messaging engineer
4632,Yes,test engineer
4633,Yes,great company culture
4634,Yes,good company work
4635,Yes,tse
4636,Yes,overall good place work
4637,Yes,lots uncertainty
4638,Yes,project manager
4639,Yes,program manager
4640,Yes,program manager
4641,Yes,great place notable downsides
4642,Yes,senior software engineer
4643,Yes,stationary
4644,Yes,inside account manager medium business
4645,Yes,delivery manager
4646,Yes,project manager
4647,Yes,software developer
4648,Yes,inside product specialist ii
4649,Yes,sw qa
4650,Yes,senior technical advisor
4651,Yes,finance consultant
4652,Yes,account executive dmr reseller
4653,Yes,intern
4654,No,nothing ever changes
4655,Yes,workflow coordinator
4656,Yes,suboptimized
4657,Yes,operator
4658,Yes,director
4659,Yes,good company slow
4660,Yes,platform engineer
4661,Yes,dell review
4662,Yes,good place work secure
4663,No,claims
4664,Yes,sales engineer
4665,Yes,growth opportunities limited
4666,Yes,dell good compay start company
4667,Yes,bad place
4668,Yes,great company
4669,Yes,employment
4670,Yes,product marketing manager
4671,Yes,product marketing manager
4672,Yes,selling us ntt data
4673,No,nasty offices ok job security
4674,Yes,technical leadmanager
4675,Yes,definitely much better
4676,Yes,senior product manager
4677,Yes,services personnel
4678,Yes,overall good
4679,Yes,inside sales rep iii
4680,Yes,awesome place work
4681,Yes,overall great company
4682,Yes,dell
4683,Yes,good work life balance
4684,Yes,company lifestyle
4685,No,poor people management
4686,Yes,ok
4687,Yes,proposal manager
4688,Yes,client technical support
4689,Yes,nice
4690,Yes,test engineer
4691,No,great people crappy management
4692,Yes,ok
4693,Yes,consultant
4694,Yes,resolution expert
4695,Yes,project manager
4696,Yes,dell review
4697,No,dell went private
4698,Yes,odi senior developer
4699,Yes,assembly worker
4700,Yes,consumer inside sales rep
4701,Yes,consumer inside sales rep
4702,Yes,platform software principal engineer
4703,Yes,bad
4704,Yes,great internship
4705,Yes,great place work
4706,Yes,senior technical advisor
4707,Yes,good place work
4708,Yes,experience dell
4709,Yes,dell review
4710,Yes,great company
4711,Yes,plaftform engineer
4712,Yes,euc technical sales specialist
4713,Yes,net senior developer
4714,No,buyer beware
4715,Yes,tech support
4716,Yes,account manager
4717,Yes,good
4718,Yes,great company
4719,Yes,tech support
4720,Yes,technical analysis advisor
4721,Yes,technical analysis advisor
4722,Yes,good place work
4723,Yes,interesting place work
4724,Yes,nice career
4725,No,former employee
4726,Yes,flexibile work environment
4727,Yes,project management ii
4728,Yes,project manager
4729,Yes,first job college
4730,Yes,ready adapt
4731,Yes,software dev analyst
4732,Yes,review
4733,Yes,enterprise firmware test engineer
4734,Yes,hit miss
4735,Yes,good company
4736,Yes,good company
4737,Yes,experience
4738,Yes,experience
4739,Yes,decent place work
4740,Yes,sales
4741,No,projectprogram management advisor
4742,Yes,admin
4743,Yes,overall good experience
4744,Yes,great place work
4745,No,plan acquisition
4746,Yes,ccc
4747,Yes,great worklife options leadership needs work
4748,Yes,good benefits
4749,Yes,inside sales
4750,Yes,dell
4751,Yes,worked years
4752,Yes,job review
4753,Yes,chat tech
4754,Yes,senior design analyst
4755,Yes,support
4756,Yes,management
4757,No,nothing special management confused mindset
4758,Yes,helpdesk
4759,No,want cog machine
4760,Yes,program manager
4761,Yes,software dev analyst
4762,Yes,good benefits
4763,Yes,services
4764,Yes,enterprise tech support analyst
4765,Yes,enterprise tech support analyst
4766,Yes,analyst
4767,Yes,analyst
4768,Yes,great company
4769,Yes,program manager
4770,No,product line manager
4771,Yes,good ok taste
4772,Yes,business systems analyst
4773,Yes,sales support sr analyst
4774,Yes,project manager
4775,Yes,great developing young talent
4776,Yes,good place work life balance
4777,Yes,software development
4778,Yes,project manager
4779,Yes,excellent company
4780,Yes,good
4781,Yes,pretty good large corporation
4782,Yes,aes view dell
4783,Yes,good work life balance financial advisor
4784,Yes,good transition job
4785,Yes,dell services
4786,Yes,web designer
4787,Yes,software development consultant
4788,Yes,opportunity amidst chaos
4789,Yes,challenging business pays ok
4790,Yes,great place work
4791,Yes,good company
4792,Yes,solid company
4793,Yes,global cloud services
4794,Yes,oracle database administration
4795,Yes,good exprience
4796,Yes,good bad
4797,Yes,account executive
4798,Yes,awesome place work
4799,Yes,dell account executive
4800,Yes,okay place
4801,Yes,software engineering intern
4802,Yes,great company work
4803,Yes,strong opportunities growth
4804,Yes,dell
4805,No,health insurance joke
4806,Yes,love working dell easy
4807,Yes,dell dude
4808,Yes,dell
4809,Yes,dell
4810,No,bonuses worth sometimes hard get
4811,Yes,data entry
4812,Yes,senior advisor
4813,No,stay away
4814,Yes,dell
4815,Yes,dell review
4816,Yes,network engineer
4817,Yes,channel account manager
4818,Yes,content strategist
4819,Yes,loved tech
4820,Yes,good place
4821,Yes,operations technical consultant
4822,Yes,channel executive
4823,No,consumer marketing needs focus
4824,Yes,finance
4825,Yes,good company
4826,Yes,great experience
4827,Yes,eight years dell
4828,Yes,digital strategist
4829,Yes,average experience
4830,Yes,escalations engineer
4831,No,sucked working
4832,Yes,staff engineer
4833,Yes,sales representative
4834,Yes,sr pro technical support analyist
4835,Yes,career development
4836,Yes,good bad
4837,Yes,sales rep iv
4838,Yes,developer
4839,No,cost conscious quick layoff costs get high
4840,Yes,marketing manager
4841,Yes,ok great
4842,Yes,solutions consultant
4843,Yes,good company
4844,Yes,senior finance analyst
4845,Yes,dell rating
4846,Yes,dell inc
4847,Yes,contractor dell
4848,Yes,great place work
4849,Yes,fast pace culture benefits leadership top opportunities
4850,Yes,fast pace culture benefits leadership top opportunities
4851,Yes,nice people low organizational efficiency
4852,Yes,manager dell software division
4853,Yes,project management senior analyst
4854,Yes,services manager
4855,Yes,dell
4856,Yes,general
4857,Yes,business systems analyst
4858,Yes,inside sales representative iii
4859,Yes,good friendly work environment
4860,Yes,sr marketing manager
4861,Yes,healthcare services
4862,Yes,program manager
4863,Yes,excellent company work
4864,Yes,project management sr advisor
4865,Yes,great worklife balance benefits great people lots broken processes
4866,Yes,sales
4867,Yes,gsm
4868,Yes,dell
4869,Yes,application development advisor
4870,Yes,salary
4871,Yes,technical support engineer
4872,Yes,technical support engineer
4873,Yes,sales consultant
4874,Yes,great job
4875,Yes,corporate america
4876,Yes,ehh
4877,Yes,eh
4878,Yes,good place learn company big  impact
4879,Yes,engineer
4880,Yes,engineer
4881,Yes,review
4882,Yes,great company embraces diversity
4883,Yes,powerhouse
4884,Yes,global program manager
4885,Yes,dell services
4886,Yes,huge company trying become nimble going private
4887,Yes,lead av techniciain
4888,Yes,sr enterprise technical analyst
4889,Yes,best experience far
4890,Yes,dell employee
4891,Yes,acquisition account manager med business division
4892,Yes,principal software engineer
4893,Yes,director marketing
4894,Yes,director services
4895,Yes,good challenging work meets notsogood challenging workermanager communication issues
4896,Yes,good learning experience stressful
4897,Yes,challenging work
4898,Yes,great place work
4899,Yes,high performance computing high performance team
4900,Yes,good company private direction
4901,Yes,great people
4902,Yes,software dev sr analyst
4903,Yes,great company work
4904,Yes,company provides good work opportunities easy move across horizontals enhance skills
4905,Yes,portfolio manager dell financial services
4906,Yes,good
4907,No,bad stagnant
4908,Yes,great longterm employer
4909,Yes,good place
4910,Yes,principal engineer
4911,No,workforce reduction cuts
4912,Yes,product marketing sr advisor
4913,Yes,qa lead
4914,Yes,good experience good benefits
4915,Yes,qa engineer
4916,No,dell went private restructuring
4917,Yes,bdr dell software
4918,No,left
4919,Yes,overall great company work
4920,Yes,bad better
4921,Yes,results driven relationship oriented culture
4922,Yes,good people
4923,Yes,interesting place work
4924,Yes,good place learn work
4925,Yes,good place learn work
4926,Yes,great company start
4927,Yes,good place work
4928,Yes,financial analyst
4929,Yes,quality control sr associate
4930,Yes,hard work occassional good pay autonomy
4931,Yes,nice company
4932,No,decent company nothing stands strong recognizable name resume
4933,Yes,bsa senior advisor
4934,Yes,k
4935,Yes,dell services
4936,Yes,good
4937,Yes,great possibilities willing work hard
4938,Yes,worked team highly skilled engineers direct connection customer
4939,Yes,channel sales
4940,Yes,good lasted laid
4941,Yes,good company work
4942,No,doesnt believe workers training
4943,Yes,felt  just number
4944,Yes,great
4945,Yes,good environment work
4946,Yes,good
4947,No,worth giving shot
4948,Yes,stressful
4949,Yes,great place work
4950,No,average compensation loose management convoluted legacy code
4951,Yes,cts mohali
4952,No,old boy network
4953,Yes,god
4954,Yes,used great place work
4955,Yes,flexible work hours tough get promotionadvance career
4956,Yes,great learning experience
4957,Yes,good place work room move around grow
4958,No,mixed bag great benefits good pay ultimately another brick wall
4959,Yes,dell
4960,No,market salaries austin area grueling workload
4961,No,disappointing
4962,No,definitely number individual
4963,Yes,cool
4964,Yes,satisfied
4965,Yes,good company steady work
4966,Yes,great company
4967,No,dell ok place work part boys club look elsewhere
4968,Yes,dell great culture fantastic leadership opportunity advancement
4969,Yes,great place work
4970,Yes,overall great company work learn grow
4971,Yes,great place work
4972,Yes,lots good things dell
4973,Yes,dell
4974,Yes,great place develop
4975,Yes,decent
4976,Yes,great company work
4977,Yes,good benefits
4978,No,average
4979,Yes,ok place work
4980,No,ok firtst became unbearable last years
4981,Yes,challenging driven excellence
4982,Yes,working top talent
4983,No,thumbs
4984,Yes,tech side sales loved fair management good worklife balance excellent trainingteamwork
4985,Yes,great experience
4986,No,moved cheese
4987,Yes,sr program manager
4988,Yes,analyst
4989,Yes,good place work
4990,No,everythings thrown together last minute
4991,Yes,company
4992,Yes,sales manager
4993,Yes,dell
4994,Yes,remote medical claims ar rep
4995,Yes,area manager
4996,No,long hours difficult move sales
4997,Yes,dell services focused employees upper management involved  meetings enough focus work
4998,No,short lived whole department got laid ten months hired
4999,Yes,great company big
5000,Yes,flexible work environment
5001,Yes,pretty good
5002,Yes,technical sales rep
5003,Yes,great place work
5004,Yes,great go back
5005,Yes,enterprise servers
5006,Yes,great go back
5007,Yes,goes
5008,No,fun first terrible last years
5009,No,good bad ugly dell
5010,Yes,product management dell
5011,Yes,despite current turbulence pay benefits good
5012,Yes,great environment
5013,Yes,love job love dell lets work home
5014,No,progressively went downhill
5015,No,dells best days past
5016,Yes,learned lot people
5017,Yes,good
5018,Yes,great worklife balance terrible management
5019,Yes,great company work one time
5020,Yes,great worklife balance terrible management
5021,Yes,good starting job
5022,Yes,ok
5023,Yes,great parts act one company
5024,Yes,service product group program manager
5025,Yes,market driven less technical focus company
5026,Yes,youre getting dell
5027,Yes,decent job
5028,Yes,company review
5029,No,lethargic directionless making incremental progress
5030,Yes,satisfactory employer
5031,Yes,drinking fire hose going guardrail guardrail
5032,Yes,marketing manager
5033,Yes,great company career advancement however challenging industry company makes frequent changes
5034,Yes,sales exec
5035,Yes,nd time around much better
5036,Yes,good worklife balance team
5037,Yes,hardcore sales experience inside mid level management leaves much desired
5038,Yes,bloated management good people worker bee level
5039,Yes,good job career
5040,Yes,good place work
5041,No,dell people  move mountains dell leaders including michael lacking strategic vision pity
5042,No,big company  get lost shuffle
5043,No,big company  get lost shuffle
5044,Yes,great first corporate job
5045,No,based organization instead engineering one
5046,Yes,title
5047,Yes,working
5048,Yes,great job company needs direction
5049,Yes,experience rewarding helped start career
5050,Yes,undergoing change
5051,No,world class greedy glutton lost recipe success mort left
5052,Yes,great company sporadic leadership
5053,Yes,good
5054,Yes,guard rail guardrail navigation
5055,Yes,job
5056,Yes,pretty good
5057,Yes,sales engineer
5058,Yes,program manager dell
5059,Yes,lots flexibility
5060,Yes,good
5061,Yes,corporate america
5062,Yes,great place just pick best manager  possibly work
5063,Yes,mixed
5064,No,lay offs
5065,Yes,good
5066,Yes,transformation uncertain
5067,Yes,lots opportunity good people willing create destiny
5068,No,career guardrail grind
5069,Yes,fair
5070,Yes,overall good company
5071,Yes,moving speed dell
5072,Yes,dell
5073,Yes,company review
5074,Yes,great people bad company
5075,Yes,general manager
5076,Yes,great place work
5077,Yes,project manager
5078,Yes,best place work
5079,Yes,good company work
5080,Yes,sr engineer
5081,Yes,great place learn fundamentals management leadership corporate america
5082,No,need job means take
5083,Yes,software enginner
5084,Yes,need invigorating
5085,Yes,program manager
5086,Yes,great place work
5087,Yes,good salary works hard
5088,No,high pressure grinder definitely engaging
5089,Yes,improve financial stability
5090,Yes,company transformation still feels far away
5091,Yes,great work enviornment people
5092,Yes,great place work salary better
5093,Yes,feedback
5094,Yes,contractor experience dell services
5095,No,recommend
5096,Yes,good
5097,No,will work hours week pay
5098,Yes,happy
5099,No,company  chew spit better strong person climb ladder goal
5100,No,cut costs
5101,Yes,good freshers ok pay promotions
5102,Yes,good place work
5103,No,turn burn sales environment
5104,Yes,senior solution consultant
5105,Yes,great place work
5106,Yes,dont plan carrer
5107,No,way better t used
5108,No,actions speak louder words
5109,No,going downhill fast dell healthcare
5110,Yes,decent job
5111,Yes,dell good company unique culture offers  career opportunities
5112,Yes,happened dell
5113,Yes,reorgs
5114,No,dont say something stupid
5115,No,dont say something stupid
5116,Yes,perot systems bougt dell immense uncertainty stress change management staff
5117,No,good youd better meet metrics
5118,Yes,good leaning experience corporate america
5119,No,mediocre
5120,No,horrible guess right word
5121,Yes,fast paced project oriented tight deadlines less resources cross functional department work
5122,No,started well went downhill
5123,No,dynamic challenging focus always profits often expense employees customers
5124,Yes,stressful
5125,Yes,depends client work manager
5126,Yes,just ok
5127,Yes,good place work everyone
5128,Yes,dell excellent place work
5129,Yes,mixed good place work couple years
5130,Yes,interestingexhausting
5131,Yes,good exceed expectations
5132,Yes,great people meeting potential
5133,Yes,good money okc
5134,No,case study great company becomes mediocre growth
5135,Yes,overall great value environment
5136,Yes,training available contractors
5137,Yes,solid opportunity need better future direction
5138,Yes,dell commodities business aggressive manufacturingminded management place creative folks
5139,Yes,decent compensation works hard
5140,Yes,good
5141,Yes,far good
5142,No,rub elbows politic folks clout youll get need go good ol boys
5143,Yes,ok
5144,No,will never get meaningful raise
5145,Yes,better beginning overall generally good hope theyll turn around
5146,Yes,busy life dell
5147,No,last legs go else future
5148,Yes,fair company work
5149,Yes,good compensation technology
5150,Yes,scope growth ready take initiative
5151,No,mixed bag
5152,Yes,enjoyed time dell
5153,Yes,company finding way heading toward consulting integrated systems analysis simulation
5154,Yes,great place work life
5155,Yes,frustrating times good people opportunity  difference
5156,No,long hours evening calls good benefitsmultiply project time
5157,Yes,job career software commodity
5158,Yes,good stint dell decent compensation chance promotion technical environment
5159,Yes,dell
5160,Yes,great place stability work low paying possibilities advancement
5161,Yes,great place startand
5162,No,ok much better
5163,Yes,great pay great benefits lots add
5164,Yes,gruelling educational certainly pay dues pay competitive
5165,Yes,advancement rough
5166,Yes,everyone
5167,No,dell transitioning become software company way go
5168,Yes,dell account manager
5169,Yes,transition
5170,Yes,good opportunity limitations
5171,Yes,just ok
5172,Yes,good company
5173,Yes,great place
5174,Yes,must find right area satisfied
5175,Yes,dba dell
5176,Yes,sales dell inside mall
5177,Yes,good experience slow growth
5178,Yes,vertical barrier
5179,Yes,good place work even better place friend high places
5180,Yes,alright place
5181,No,dell services changed way associates compensated culture acquired perot accounts
5182,Yes,bad company
5183,No,dell perot consuting
5184,Yes,good challenging work poor work culture
5185,Yes,decent place work learned lot career growth flatlined quickly
5186,Yes,good place work oklahoma city limited advancement opportunities site
5187,Yes,future us developers
5188,Yes,company litter room software developers
5189,Yes,ever changing environment
5190,Yes,career growth opportunity
5191,No,employees less important
5192,Yes,five year dell marketing veteran
5193,No,dell heaven dell hell
5194,Yes,good experience great longterm career
5195,Yes,dell engineers
5196,No,good money stagnant growth
5197,Yes,dell perot systems
5198,Yes,senior manager procurement
5199,Yes,dell average place work
5200,Yes,put effort get return
5201,No,great people work highly tactical aimless vision less executive leadership
5202,No,much potential lost
5203,Yes,great company individual contributor talent become one day
5204,Yes,ok
5205,Yes,dell
5206,No,used great years back
5207,Yes,changes still good place work
5208,No,welcome office space
5209,Yes,nice work
5210,Yes,lots opportunity
5211,No,good ol boys unite
5212,Yes,work ground
5213,No,dont judge book cover
5214,No,strategic planning consultant
5215,Yes,program management product engineering
5216,No,good money poor management
5217,No,fairly mediocre
5218,Yes,dell translates dealing ambiguity
5219,No,works ground steps grave
5220,Yes,good company great benefits sporadic direction
5221,Yes,good place update resume thats
5222,Yes,slow advancement hr career progress limited
5223,Yes,good money room serious advancement
5224,Yes,great people fun job management disconnected
5225,No,respect employees
5226,Yes,good career development projects tend short term
5227,No,capitalism doesnt necessarily mean opportunity visa versa
5228,Yes,good work life balance lacking professional upside
5229,No,work life balance joke even allowed smoke
5230,Yes,fast paced hard work
5231,Yes,great company tough work
5232,Yes,love dell getting harder harder
5233,Yes,good company
5234,No,welcome machine
5235,Yes,things considered good place work
5236,Yes,looking dell
5237,No,dell will outsource job
5238,Yes,neutral overall
5239,Yes,great little advancement others
5240,Yes,bad place
5241,Yes,good pay perform well
5242,No,michael trying  changes dell drive new company problem everyone thinks old school
5243,No,dell good place work dont get reduced
5244,No,commission plain aint used
5245,Yes,great company wasand still
5246,Yes,michael outstanding job tacticalnow time larger vision
5247,No,help ive fallen cant get
5248,No,good training ground hard commit long term due lack promotions mixed company performance
5249,No,wish wasnt case youre helping
5250,Yes,great family people much new hires
5251,Yes,major flaws dell
5252,No,looking ramp
5253,Yes,toad
5254,Yes,dell feedback
5255,No,michael dell needs start walking departments ask everyone questions
5256,Yes,changing landscape
5257,No,great pay abusive environment
5258,No,looking keep sanity stay away dell
5259,Yes,never great engineers hardly even ok
5260,No,great company now trying find way  senior leaders without clear decision maker
5261,No,used much better
5262,Yes,potential comeback
5263,Yes,lots opportunities lots bureaucracy
5264,Yes,dell still good place
5265,No,jury still
5266,Yes,content improvements made
5267,Yes,good company work gain experience upward career promotion limited
5268,No,good compjust get layoffs move sompany forward
5269,No,okbut much better
5270,Yes,great company build skills career comes price
5271,Yes,good place young ambitious
5272,Yes,large company syndrome king servants
5273,No,unreasonable quotas workloads
5274,Yes,reward  difference look
5275,No,youre might  people
5276,Yes,generally satisfied
5277,No,dell welloiled machine
5278,Yes,ups downs
5279,Yes,best learning opportunities around
5280,No,worse
5281,Yes,get back basics
5282,Yes,id still work hadnt laid everyone
5283,No,uh oh
5284,No,mixed bag much fun years ago
5285,No,go  money get realize selling soul
5286,Yes,dell good brand manager product manager
5287,Yes,working dell well worth benefits pay performance
5288,Yes,dell chance great might trip junk
5289,Yes,fine place work best
5290,Yes,work hard time play hard
5291,No,disconnected management
5292,Yes,lack opportunities dell
5293,Yes,good place ambitious people
5294,Yes,lack opportunities dell
5295,Yes,overall good place work
5296,Yes,great place work holics willing takes get ahead
5297,Yes,dellemc
5298,Yes,software engineer
5299,Yes,software developer senior associate
5300,Yes,awesome place work
5301,Yes,procurementoperations
5302,Yes,audit
5303,Yes,ok job
5304,Yes,good company work
5305,Yes,good working environment
5306,Yes,company
5307,Yes,good place network work
5308,Yes,senior analyst
5309,Yes,testing engineering analyst
5310,Yes,okay
5311,Yes,company good depends project
5312,Yes,dell interview
5313,Yes,good
5314,Yes,total evaluation
5315,Yes,great company
5316,Yes,great company work
5317,Yes,review
5318,Yes,dell
